id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P1-STORY-MVC-001,Story Continuity MVC contract,P1,done,yes,yes,"外部评审指出原 Story Continuity / Caption / Pet trial 计划合计范围过大，容易在 Story Review、批量加字和新 UI 上提前扩张；同时 mock smoke 会产生视觉连续性假阳性。","新增本 CSV 作为第一实施入口：3 格、无字、顺序生成、人工选图、真实参考图参与的连续故事最小闭环；原 `next-phase-p1-story-continuity-comic-workflow.csv` 作为上位路线保留，但不直接全量开工。","后续实现者先完成 story_context_v1、preflight、resolved reference assets、Sequential Previous Panel Mode、Production View 最小展示、manifest 摘要和 cap=1 真实 canary；不做新 Story Review 页面、不做加字 UI、不做 ZIP、不做自动视觉质检。","文档 review；CSV review；secret boundary review。",medium,"本 CSV 已新增，用于替代原大范围 Story Continuity 计划作为第一执行切片。"
P1-STORY-MVC-002,Define story_context_v1 snapshot contract,P1,todo,no,yes,"Story Bible、Panel Plan、reference roles 如果散落在 metadata 根节点，后续任务、manifest 和 regenerate 很难可靠继承，也容易和 Project Visual Context 冲突。","定义统一 `story_context_v1` 快照，包含 schema_version、story_id、story_revision、story_plan_hash、generation_mode、story_bible、panel_plan、reference_bindings、resolved_reference_assets、continuity_policy；优先存入 task structured input 和 asset parameters snapshot。","3 格任务和资产都保存同一 story_revision/hash；metadata 不含 secret/local path；manifest 可输出 story_context 摘要；字段命名稳定并有 fixture。","Fixture parse；Go metadata tests；manifest snapshot review。",medium,"待执行。"
P1-STORY-MVC-003,Strengthen panel causality schema,P1,todo,no,yes,"只记录 previous_state/action/dialogue 仍然可能让文案缺少因果，无法解决观众看不出连续关系的问题。","Panel Plan 增加 panel_index、narrative_role、previous_state、trigger_event、visible_action、resulting_state、dialogue、dialogue_intent、must_keep_props、allowed_changes 和 target_path；scene_id 继续作为业务标识，但排序优先使用数值 panel_index。","每格 metadata 能解释前置状态、触发事件、可见动作、结果状态和对白意图；panel_index 为 1/2/3 且 manifest 按 panel_index 排序。","Fixture review；mock task metadata review；manifest order review。",medium,"待执行。"
P1-STORY-MVC-004,Separate declared reference roles from resolved reference assets,P1,todo,no,yes,"reference_roles 只是说明文字时，容易被误判为参考图真正参与生成；必须区分“计划引用”和“平台实际解析并送入 provider 的 asset”。","在 story_context_v1 中分开记录 declared reference_roles/reference_bindings 与 resolved_reference_assets；resolved 项需包含 asset_id、role、source、project scope 校验结果和 provider_reference_participation。","如果只有 reference_roles 没有 resolved_reference_assets，任务标记为 text-constrained generation，不能标记为 reference-assisted continuity；Web/metadata 能区分 reference resolved / missing / unsupported。","Go tests；metadata snapshot review；provider diagnostics review。",high,"待执行。"
P1-STORY-MVC-005,Generation preflight for sequential continuity,P1,todo,no,yes,"Sequential 模式要求上一格 selected asset 存在；如果失败时静默退化成并发文生图，会得到假连续结果。","创建每格任务前执行 preflight：角色参考存在、环境参考存在、引用 asset 同 project、provider 支持参考图数量、panel_index>1 时 previous selected asset 存在、参考图解析失败时阻止或明确降级标记。","preflight 失败返回可读错误或 warnings；第二格没有第一格 selected asset 时不能创建强连续任务；第三格没有第二格 selected asset 时同理；所有降级都进入 metadata。","Go tests；MCP/REST mock error smoke；non-exposure review。",high,"待执行。"
P1-STORY-MVC-006,Sequential previous panel generation flow,P1,todo,yes,yes,"强连续漫画不能完全并发生成；必须先选第一格，再把第一格作为第二格 previous_panel_reference，依次推进。","实现或文档化第一轮执行流程：panel 1 生成最多 2 个候选并人工 select；panel 2 引用 panel 1 selected asset；panel 3 引用 panel 2 selected asset；provider cap=1，review_required=true，不自动最终确定。","第二格 metadata 明确包含第一格 selected asset_id；第三格 metadata 明确包含第二格 selected asset_id；旧 asset 状态不被覆盖；每格最多 2 候选。","MCP/REST smoke；asset metadata review；Production View select/reject review。",high,"待执行；真实 provider 费用需确认。"
P1-STORY-MVC-007,Production View continuity details minimal display,P1,todo,yes,yes,"第一轮不应新建 Story Review 页面，但人工仍需要在现有 Production View 里看到连续性上下文，否则无法判断为什么这样生成。","在现有 Production View 或 Technical details 中最小展示 panel_index、dialogue、narrative_role、previous_panel_reference、resolved_reference_assets count、provider_reference_participation 和 continuity warnings；不做漫画编辑器。","人工能按 panel_index 顺序审图；能看到上一格引用和参考参与情况；低频工程字段继续折叠；没有新增复杂编辑界面。","Web tests；browser smoke；accessibility spot check。",medium,"待执行。"
P1-STORY-MVC-008,Manifest story_context_v1 summary,P1,todo,no,yes,"交付 manifest 如果只列 asset URL，后续无法复盘这组图是否按顺序引用、参考是否参与、是否经过 regenerate。","扩展现有 batch/story manifest 的 metadata 摘要，加入 story_revision/hash、panel_index、selected asset、previous_panel_asset_id、resolved_reference_assets、provider_reference_participation 和 regenerate lineage。","selected manifest 能按 panel_index 输出 3 格故事；不返回 local_path；能看出每格用到哪些真实参考资产。","Manifest parse；non-exposure review；fixture snapshot。",medium,"待执行。"
P1-STORY-MVC-009,One-panel continuity regenerate smoke,P1,todo,no,yes,"强连续生产需要能修复单格漂移，但不能破坏其他格 selected 状态。","复用现有 scene regenerate，新 task 继承 story_context_v1 快照，并记录 structured_failure_type、continuity_fix_notes、regenerated_from_task_id 和 regenerate_no；不覆盖旧 task/asset。","对任一 panel regenerate 后，其他 panel selected 不变；新 asset 与旧 asset 都可追踪；manifest 能显示 regenerate lineage。","Go tests；Production View smoke；manifest review。",medium,"待执行。"
P1-STORY-MVC-010,Mock data-link smoke with explicit non-visual caveat,P1,todo,no,yes,"Mock provider 不看图像内容，不能证明视觉连续性，但仍可验证 metadata、状态、manifest 和 UI 链路。","跑 3 格 mock smoke，只验 story_context_v1、preflight、panel_index、resolved references 记录、select/reject、manifest；文档明确 mock 不作为视觉连续性通过证据。","mock 3 格 completed；metadata 和 manifest 完整；CHECKPOINTS 明确写入“mock only validates data flow, not visual continuity”。","MCP/REST mock smoke；CSV evidence review；CHECKPOINTS update。",low,"待执行。"
