id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P1-BSE-001,Baseline and scope guard,P0,done,no,yes,"Project Visual Context 已完成，但 Batch / Story / Scene View、Export Pack 和 NAS/WebDAV 容易扩成运营系统或通用 DAM。","只读复核 AGENTS、docs/project、现有 batch progress、asset list filters、Admin Recent Assets、delivery URL、storage layout 和 P1-PCTX 回归 evidence；确认本 CSV 是下一轮主入口。","明确本轮只做批量故事生产查看、scene 级追踪/重试和最小交付 manifest；不做小红书发布、内容日历、通用 DAM、WebDAV/SMB server、多人协作或 AI 视觉质检；更新 TASKS/PROJECT_PLAN/PROJECT_STATUS_MAP/CHECKPOINTS。","文档 review；git status 摘要；不运行真实 provider；不读取或打印任何 key/secret。",low,"2026-06-22 completed: supervised read-only explorer; confirmed existing REST/CLI/Admin Recent Assets filters; batch progress; delivery URLs; Web asset library and MCP list filter gap; created slice-040 and this CSV as next P1 entry; updated TASKS/PROJECT_PLAN/PROJECT_STATUS_MAP/CHECKPOINTS/DECISIONS/RUNBOOK/FUTURE/NEXT_PHASE. No real provider run and no key/secret/cookie/session read or printed."
P1-BSE-002,Story scene summary contract,P0,done,yes,no,"story/scene 目前只是 metadata 字段，如果不先定义聚合契约，summary API、Web 视图、manifest 和 scene regenerate 会各自发明规则。","设计最小 contract：继续使用 metadata_json 的 session_id/batch_id/story_id/scene_id/target_path；定义 scene order、setup task 排除、task status 聚合、selected coverage、regenerated_from_task_id、selected-only/all-assets manifest；优先不新增数据库表。","产出 story 文档或技术说明；明确 REST/CLI/MCP/Web 如何查询同一 batch；明确何时需要用户确认新增表；明确 reference setup task 不混入 final scene batch。","只读方案评审；必要时补文档；不实现未确认 schema migration。",medium,"2026-06-22 completed in docs/project/stories/slice-041-batch-story-summary-contract.md. Contract chooses GET /api/projects/{project_id}/campaigns/{campaign_id}/batch-summary; metadata-only grouping; default scene_id-only production rows; setup exclusion via empty scene_id or task_role/exclude flag; public asset status mapping; regenerate metadata; manifest relationship. No business code changed; no real provider run; no key/secret/cookie/session read or printed."
P1-BSE-003,Batch story summary API,P0,done,no,yes,"Web 生产视图缺少一个稳定聚合事实源，直接拼 asset list 会让状态、失败、耗时和 scene coverage 难以一致。","新增只读 summary endpoint，输入 project/campaign + session_id/batch_id，可选 story_id/source/status；返回 story/scene/task/asset/status/error/timing/selected coverage 摘要，复用现有 store 查询能力。","REST summary 可返回 3 scene / 6 asset mock batch；包含 task_count、succeeded/failed/retrying、asset_count、attempt_count、scene rows、selected/rejected/generated counts、最近错误和 delivery 摘要；不返回本地绝对路径或 secret。","Go 单测；mock batch smoke；对照现有 batch-progress 和 asset list 结果。",medium,"2026-06-22 completed in docs/project/stories/slice-042-batch-story-summary-api.md. Added GET /api/projects/{project_id}/campaigns/{campaign_id}/batch-summary with session_id/batch_id guard, story/source/status/include_setup/limit filters, metadata-only scene grouping, setup exclusion count, public asset status mapping and no local_path in summary; added /api/assets/{asset_id}/metadata sanitized metadata URL. Verification: containerized gofmt + go test ./internal/domain ./internal/store ./internal/app ./internal/httpapi passed. No real provider run and no API key/provider key/secret/cookie/session read or printed."
P1-BSE-004,MCP list filters alignment,P0,done,no,yes,"外部 agent 主要通过 MCP 工作，但 MCP list_image_assets 当前不能按 session/batch 干净过滤，影响批量验收和后续 manifest 前置查询。","扩展 MCP list_image_assets schema 和处理逻辑，使 source/session_id/batch_id/status/keyword/limit 与 REST/CLI asset list 的基础过滤保持一致；必要时评估新增只读 get_batch_progress MCP tool。","MCP 传 source/session_id/batch_id 后只返回目标 clean batch assets；未传过滤时维持当前 campaign 列表行为；MCP 结果与 REST/CLI 同 batch 查询一致；错误不暴露本地路径或 secret。","Go 单测 + MCP stdio mock smoke；对照 REST/CLI 同 batch 查询结果；不运行真实 provider。",medium,"2026-06-22 completed: extended MCP list_image_assets schema with source/session_id/batch_id/status/keyword/limit; handleToolCall now passes filters to domain.AssetListQuery while preserving default project/campaign scope; MCP semantic output strips local_path from structured/text responses; no MCP summary tool added. Verified with containerized gofmt and go test ./internal/mcp. No real provider run and no key/secret/cookie/session read or printed."
P1-BSE-005,Web production view read-only,P1,done,no,yes,"Web 资产库能筛选资产，但用户仍要手动拼 batch/story/scene，无法一眼看到一组故事图是否成功、哪些 scene 失败或已选中。","在 Web 增加最小 Batch/Story/Scene production view：选择 current scope 或 Recent，输入/带入 session_id/batch_id，按 scene 聚合展示 task status、candidate thumbnails、selected/rejected/generated、失败原因和耗时。","Admin 登录后能打开 production view；3 scene / 6 asset mock batch 显示正确；loading/empty/unauthorized/error 有稳定状态；切换 batch、打开 scene、刷新不整屏闪烁。","Web tests + production build；browser production preview smoke；不运行真实 provider；不读取/打印 cookie/key。",medium,"2026-06-22 completed in docs/project/stories/slice-044-web-production-view-read-only.md. Added lazy Web Production View modal from header; API client types/function for GET /api/projects/{project_id}/campaigns/{campaign_id}/batch-summary with session_id/batch_id/story_id/source/status/include_setup/limit; modal displays counts, stories, scenes, task/asset counts, selected coverage, thumbnails, delivery/metadata links, latest task id and error summaries; 401/403 shown as unauthorized/login required; refresh keeps prior summary visible. Verification: npm --prefix web test -- --run passed 17 files / 226 tests; npm --prefix web run build passed with existing large chunk warning family and separate ProductionViewModal lazy chunk. No real provider run and no API key/provider key/secret/cookie/session read or printed."
P1-BSE-006,Scene asset actions,P1,done,no,yes,"场景内不能快速 select/reject，用户导出前仍要回到普通资产卡逐个找候选图。","在 production view 的 scene row/card 内复用现有 select/reject asset 操作，并保持局部更新；不做多人审核、不新增复杂审核流。","scene 内可 select/reject 候选资产；每个 scene 是否已有 selected asset 一眼可见；操作后不刷新整页，普通资产库状态保持一致。","Web tests；browser smoke；REST select/reject 回归。",medium,"2026-06-22 completed in docs/project/stories/slice-045-scene-asset-actions.md. Production View scene asset cards now reuse existing Web select/reject API helpers backed by POST /api/assets/{asset_id}/approve and /reject; each scene shows selected asset / missing selected coverage, each asset has stable Select/Reject controls with per-asset pending/error states, and 401/403 action failures show unauthorized / login required. Successful actions keep the modal open and locally update the current summary asset status, scene selected/rejected counts, primary selected asset, story selected scene counts and top-level coverage counts without clearing the modal. Verification: npm --prefix web test -- --run passed 17 files / 226 tests; npm --prefix web run build passed with existing large chunk warning family. No real provider run and no API key/provider key/secret/cookie/session read or printed."
P1-BSE-007,Scene regenerate design,P1,done,yes,no,"失败或效果差的 scene 需要重生，但直接实现可能破坏幂等、selected 状态和 batch progress 语义。","先设计 regenerate 语义：新建 task 还是 retry 原 task、如何复制 prompt/visual context/metadata/generation config、如何记录 regenerated_from_task_id、如何保持同 session/batch/story/scene。","形成明确设计并列出需要改动的 API/CLI/Web；旧 task/assets 不被覆盖；selected/rejected 不被自动破坏；若涉及 schema migration 必须另行确认。","方案评审；不写业务代码。",high,"2026-06-22 completed in docs/project/stories/slice-046-scene-regenerate-design.md. Design chooses create-new-task-as-regeneration, not retrying or mutating the source task; no schema migration required for v1. Input contract supports source_task_id or scene identity with latest selector plus optional safe overrides for prompt, recipe, visual context ids and generation config. Output contract returns new task_id/status/regenerated_from_task_id/regenerate_no/copied visual_context snapshot summary/warnings. Metadata rules specify structured_input_json metadata_json and asset parameters_json lineage fields so batch-summary/progress/asset list/manifest can read regenerated scene attempts. Web/CLI/API/MCP impacts and P1-BSE-008 acceptance criteria documented. No business code changed; no real provider run; no key/secret/cookie/session read or printed."
P1-BSE-008,Scene regenerate implementation,P1,done,no,yes,"设计确认后，用户需要从单个 scene 快速创建再生成任务，避免重跑整个故事 batch。","实现 scene 级 regenerate action：基于原 task 复制 prompt、visual context ids、metadata_json、quality settings 和 generation config，生成新 task；metadata 增加 regenerated_from_task_id；保持同 session/batch/story/scene。","Web 或 CLI 可对单 scene 创建 regenerate task；旧 task/assets 不被覆盖；batch summary/progress 能反映新任务；asset list 可追溯 regenerated_from_task_id。","Go 单测；mock provider smoke；Web/CLI 最小验证；检查 selected/rejected 状态不被自动破坏。",medium,"2026-06-22 completed in docs/project/stories/slice-047-scene-regenerate-implementation.md. Added REST POST /api/projects/{project_id}/campaigns/{campaign_id}/scene-regenerations, domain DTOs, store source/latest/count helpers, app RegenerateSceneTask metadata-only lineage, admin session/audit route wiring, Web API client helper and Production View per-scene Regenerate action. First Web path uses scene.latest_task_id/source_task_id, optional reason and created_by=web; backend also supports scene identity latest-task resolution for later CLI/MCP. Regenerate creates a new queued task through existing CreateTask flow, keeps old task/assets/selected/rejected unchanged, and records regenerated_from_task_id/regenerate_no/reason/source/actor/overrides/source_scene_identity. Verification: containerized go test ./internal/domain ./internal/store ./internal/app ./internal/httpapi ./internal/mcp passed; npm --prefix web test -- --run passed 17 files / 227 tests; git diff --check passed. No real provider run; no key/secret/cookie/session read or printed."
P1-BSE-009,Minimal export manifest,P1,done,no,yes,"外部 agent 完成一批图后需要稳定 JSON manifest，而不是逐个 asset 查 delivery info 再自行拼装。","新增只读 batch manifest 查询/下载，输入 workspace/project/campaign + session_id/batch_id，可选 story_id/status/selected_only；输出 assets、task summaries、delivery URLs、metadata URLs、target_path 和 visual context snapshot 摘要。","REST、CLI 和 Web 可导出 JSON manifest；selected_only=true 只包含 selected/approved 资产；all 模式包含 generated/rejected 并保留 status；manifest 不包含 provider key、本地绝对路径或 cookie。","Go 单测；CLI JSON parse；Web smoke；mock batch manifest check。",medium,"2026-06-22 completed in docs/project/stories/slice-048-minimal-export-manifest.md. Added REST GET /api/projects/{project_id}/campaigns/{campaign_id}/batch-manifest, app GetBatchManifest derived from batch-summary grouping, CLI vag batch manifest, and Web Production View JSON manifest export actions for selected, all, and all + rejected modes. Query supports session_id/batch_id/story_id/source/status/include_setup/limit/selected_only/include_rejected and still requires session_id or batch_id. Manifest includes counts, tasks, assets, scenes, stories, delivery URLs, metadata URLs, target_path and visual_context summaries, and does not include local_path or secrets. Verification: containerized go test ./internal/domain ./internal/app ./internal/httpapi ./cmd/vag passed; npm --prefix web test -- --run passed 17 files / 228 tests; npm --prefix web run build passed with existing large chunk warning; git diff --check passed. No ZIP export, no real provider run, no key/secret/cookie/session read or printed."
P1-BSE-010,Export pack ZIP boundary,P1,done,yes,yes,"多选下载和素材包有价值，但如果没有大小/数量保护，服务端 ZIP 可能带来资源风险。","确认 ZIP 是否进入第一轮；若进入，只支持小批量 selected assets，包含 original、thumbnail、metadata JSON 和 manifest；大批量提示使用 NAS/filesystem + manifest。","ZIP 文件名安全，路径来自 target_path 或 fallback；有数量/大小保护；未确认时不实现 ZIP，只保留 manifest。","Web/CLI tests；ZIP 内容结构检查；资源保护测试；不访问真实 provider。",high,"2026-06-22 completed as product boundary in docs/project/stories/slice-049-export-pack-zip-boundary.md. Decision: do not implement service-side ZIP in this P1 round; keep JSON manifest plus NAS/filesystem access as the first delivery path. Rationale: manifest already gives agent-readable delivery/metadata/target_path context, while NAS/WebDAV/SMB/Finder are better for large file browsing/copy/backup. ZIP remains a future explicit-confirmation slice limited to small selected assets with count/size/path/secret protections. No code changed, no ZIP implemented, no real provider run, no key/secret/cookie/session read or printed."
