id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P0-AUTH-SCOPE-001,Deployment auth and console baseline,P0,done,no,yes,"服务器部署后链路能跑，但 Web 缩略图 401、Basic Auth 弹窗、API URL 手填、scope 导航和 Project Context 暴露仍影响真实使用。","锁定本轮只修同源部署入口、Admin 同源 delivery、默认 API URL、运行状态、scope 导航、Project Context 工作台和基础节流；不做账号系统、多租户、发布系统或真实 provider 压测。","CSV 和项目文档记录四类凭据语义：Basic Auth、Admin Login、Project API Key、provider key；默认验收不运行真实 provider。","文档 review；git diff review。",medium,"新增本 CSV；本轮同步更新 TASKS/PROJECT_PLAN/CHECKPOINTS/DECISIONS/RUNBOOK/SERVER_DEPLOYMENT_GUIDE/V1 roadmap"
P0-AUTH-SCOPE-002,Web same-origin proxy for production,P0,done,no,yes,"Web 在 18080、API 在 18081 时仍是跨 origin，图片标签无法携带前端设置的 Authorization header，导致缩略图 401 和浏览器 Basic Auth 弹窗。","Web 镜像 Nginx 代理 `/api/*` 和 `/healthz` 到 compose 内部 API；推荐生产只公开 Web/反代入口。","通过 Web 入口可访问 `/healthz` 和 `/api/*`；Web 容器不持有 provider key；生产文档说明 API 公网端口不应作为日常浏览器入口。","docker compose prod config；Web image build；Web port proxy smoke。",medium,"docker/nginx-web.conf 已增加 `/api/` 和 `/healthz` proxy"
P0-AUTH-SCOPE-003,Same-origin default API URL,P0,done,no,yes,"远程 Web 首次打开还要手填 API URL，且用户容易把 Agent ImageFlow API URL 和 provider base URL 混淆。","Web 默认 API base 优先使用当前 browser origin；本地非浏览器测试仍回退 localhost；Settings 保留高级输入但文案说明不是 provider base URL。","生产访问不要求手填 API URL；已有手动配置不被强制覆盖；单元测试覆盖 same-origin 和 localhost fallback。","web api helper tests；Web build。",low,"agentImageflowApi/apiProfiles/Settings 已改为 same-origin 默认"
P0-AUTH-SCOPE-004,Admin session asset delivery without Basic challenge,P0,done,no,yes,"Admin 登录后 Recent Assets 能拿到资产列表，但 thumbnail/original/metadata 作为浏览器资源请求可能被 Basic Auth challenge 拦截。","asset delivery 读取路径支持 Admin session；未授权图片/metadata 响应不返回会触发浏览器原生弹窗的 `WWW-Authenticate`。","Admin session 可访问 thumbnail/original/metadata；未登录仍 401；Basic Auth 和 project API key 行为不回退。","Go tests；browser smoke。",high,"HTTP auth scope、admin route allowance 和 delivery challenge suppression 已实现"
P1-AUTH-SCOPE-005,Admin runtime status and credential semantics,P1,done,no,yes,"Web 用户不知道当前平台是否使用 mock/真实 provider，也容易误以为登录者需要填写自己的 provider key。","新增 Admin 只读 runtime status，Web 展示 API host、登录用户、provider/model、key configured boolean、Basic/Admin 配置和限流/并发摘要。","响应不包含 provider key、project key、cookie、session、secret 或本地文件路径；UI 明确 Web 登录者使用服务端配置能力。","Go redaction tests；Web build；manual UI review。",medium,"新增 `/api/admin/runtime-status` 和 Server Asset Library safe config 摘要"
P1-AUTH-SCOPE-006,Current Scope navigation,P1,done,no,yes,"资产库仍偏手填过滤，用户找不到 workspace/project/campaign 的业务空间入口。","资产库上方增加 Current Scope 三级选择器，登录后加载 workspace/project/campaign；选择完整 scope 后一次性写入 settings。","Recent Assets、Scope Assets、Production View 和 Project Context 使用同一 scope；长 ID 默认不占主要信息层。","Web tests/build；browser smoke。",medium,"ServerAssetLibrary 已增加 workspace/project/campaign selector 与 Project Context/Scope 快捷入口"
P1-AUTH-SCOPE-007,Project Context workspace entry,P1,done,no,yes,"Project Context 原来像输入框附属折叠项，角色卡、参考图和 Prompt Recipe 不够像 project 层能力。","Project Context modal 首屏展示 Characters、References、Prompt Recipes 的摘要；输入区保留紧凑摘要和快速选择。","打开 Project Context 能立刻看到当前 project 的角色/参考/recipe 概况；资产卡仍可从当前资产标记 reference。","Web build；manual UI review。",low,"ProjectContextModal 已加入首屏业务摘要"
P1-AUTH-SCOPE-008,Operator review card and rate-limit friendliness,P1,done,no,yes,"审图卡片曾暴露过多 agent/工程字段，批量刷新或图片加载过密时 429 反馈不友好。","资产卡默认保留图片、剧情/画面摘要、story/scene/source/created/target/status；工程字段进入 Technical details；429 显示可理解等待提示。","用户审图不需要阅读长 ID；触发限流时不是空白失败；Original/Metadata delivery URL 走同源解析。","Web tests/build；browser smoke。",medium,"ServerAssetLibrary/ProductionView 使用同源 delivery resolver，并对 429 给出等待提示"
P1-AUTH-SCOPE-009,Deployment docs and smoke checklist,P1,done,no,yes,"服务器交接文档仍偏反向代理模式，未清楚说明 Web 镜像已经可以代理 API、PUBLIC_BASE_URL 应指向 Web/HTTPS origin。","更新 RUNBOOK、SERVER_DEPLOYMENT_GUIDE、V1 roadmap 和生产 env 示例，说明同源 Web 入口、PUBLIC_BASE_URL、API 最小暴露面、凭据语义和 mock smoke。","新部署按 Web 单入口即可完成 Admin 登录、Recent Assets 缩略图、mock task、MCP tools/list；真实 provider canary 仍需人工确认。","docs review；prod compose config。",medium,"文档已同步；真实 provider 不纳入默认 smoke"
P1-AUTH-SCOPE-010,Real provider one-image canary remains manual,P1,todo,yes,no,"真实 provider 已可用，但自动跑会产生费用且容易被误当作压测。","仅在用户明确确认费用、provider、模型和停止条件后，用独立 project/campaign 跑 1 图 canary。","canary 只验证入口是否真实走 provider、asset/thumbnail/metadata 是否可见；不做 benchmark，不提高并发。","manual canary；batch progress；task attempts。",high,"保留为人工确认项，本轮不运行真实 provider"
