id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P1-CONSOLE-001,Baseline review Web auth scope asset library and 401,P1,done,no,yes,"Web 控制台现在需要手填 project API key 才能读取 project/campaign 资产；401 与空列表视觉上容易混在一起。","只读复核 internal/httpapi/server.go、internal/app/service.go、internal/store/postgres.go、web/src/lib/agentImageflowApi.ts、web/src/components/ServerAssetLibrary.tsx、docs/project 文档。","确认现有 Basic Auth、project API key、scope 管理、资产列表和 401 体验的真实边界。","只读检查代码与文档；不修改 provider 主链路。",low,"2026-06-20 只读复核：scope 管理为 AllowBasicOnly；project/campaign assets、task、asset 文件读取仍走 project API key；Web ServerAssetLibrary 只读当前 scope，401 会清空 assets 并显示错误，shown 计数仍可能误导。"
P1-CONSOLE-002,Design lightweight Admin session contract,P1,done,no,yes,"Web 作为控制台使用时不应该把 project API key 当成人工必填项。","设计最小 Admin login/me/logout 契约，复用自托管小团队边界，不引入账号系统。","明确 Admin session 只用于 Web 控制台；provider key 不进 Web；project API key 继续给 MCP/CLI/REST。","Go 单测覆盖 session token/cookie 契约；文档记录环境变量与禁用行为。",medium,"2026-06-20 已确定轻量 Admin session：ADMIN_USERNAME/ADMIN_PASSWORD/ADMIN_SESSION_SECRET/ADMIN_SESSION_TTL_SECONDS；HttpOnly cookie；未配置时禁用；不引入账号、RBAC、OAuth 或 SaaS 注册。"
P1-CONSOLE-003,Implement Admin login me logout API,P1,done,no,yes,"后端没有面向 Web 控制台的轻量登录态。","新增 /api/admin/login、/api/admin/me、/api/admin/logout；使用 HttpOnly cookie；凭据来自服务端配置。","登录成功设置 session cookie；me 可恢复登录态；logout 清理 cookie；不返回任何 provider key 或 project API key 明文。","go test ./...；curl smoke login/me/logout。",medium,"2026-06-20 已新增 /api/admin/login、/api/admin/me、/api/admin/logout；cookie 为 HttpOnly SameSite=Lax；curl smoke 验证 login/me 成功且未认证 recent 返回 401。"
P1-CONSOLE-004,Web admin login state and session recovery,P1,done,no,yes,"Web 刷新后无法通过控制台 session 恢复，不填 project key 就看不了资产。","新增 Web 登录态、登录表单、me 恢复与 logout。","未登录时显示登录入口或未授权状态；登录后不用手填 project API key 即可进入控制台资产读取路径。","npm --prefix web test -- --run；浏览器手测刷新后 session 恢复。",medium,"2026-06-20 Web 服务端资产库新增 Admin 登录表单、me 恢复、Logout；浏览器手测未登录显示 unauthorized/Login；登录后显示 Logout 并加载资产。"
P1-CONSOLE-005,Console API auth strategy,P1,done,no,yes,"需要让 Web admin session 可读资产，同时保持外部 API 的 project key 规则。","Admin session 可读取控制台安全资源；MCP/CLI/REST project resources 继续支持 project API key。","Admin session 可读 recent assets、scope list、asset metadata/thumbnail/original；创建任务和外部调用仍不废弃 project API key。","Go auth 单测；REST smoke 验证 project key 仍可用，未登录 recent assets 401。",medium,"2026-06-20 后端 routeAllowsAdminSession 允许 admin session 读取 recent/scope/task/asset/list/metadata/thumbnail/original/select/reject；REST smoke 验证 project key 创建任务和 list assets 仍可用。"
P1-CONSOLE-006,Recent Assets cross-scope view,P1,done,no,yes,"当前资产库只看当前 project/campaign，用户忘记 scope 时找不到 MCP/CLI/REST 产物。","新增跨 scope 最近资产 API 与 Web Recent Assets 视图，默认 limit 分页。","Web 登录 Admin 后可看到跨 workspace/project/campaign 的最近资产；当前 scope 不是查看最近资产的前置条件。","REST smoke 创建多 scope mock assets 后 recent assets 可查；Web 显示并可加载更多。",medium,"2026-06-20 新增 GET /api/admin/assets/recent 与 store ListRecentAssets；Web 默认 Recent 模式 limit=24；REST smoke 创建 asset_97eb0fc7e168ab0a54a4 后 recent_matches=1。"
P1-CONSOLE-007,Asset card scope display and switch,P1,done,no,yes,"资产卡虽然有 scope 字段但没有帮助用户切换到资产所在 scope。","资产卡显示 workspace/project/campaign，并提供一键切换当前 scope。","点击切换后 settings 中 workspace/project/campaign 更新；current scope 资产库可显示对应 campaign。","Web 测试或浏览器手测：Recent Assets 中点击 scope 切换后当前 scope 更新。",low,"2026-06-20 资产卡显示 WORKSPACE/PROJECT/CAMPAIGN；浏览器手测点击 smoke asset 的 Scope 后 settings 切到 ws_console_smoke_1781951146/prj_console_smoke_1781951146/cmp_console_smoke_1781951146。"
P1-CONSOLE-008,Distinguish unauthorized empty and no-result states,P1,done,no,yes,"401、空 campaign、filter 无结果都可能被用户理解成 0 shown。","Web 资产库区分未授权、未配置 scope、真实空列表、筛选无结果、加载失败。","未登录/401 不显示误导性 0 shown；空列表说明当前范围无资产；筛选无结果提示清除筛选。","前端测试覆盖状态文案或逻辑；浏览器手测 401 与空列表。",low,"2026-06-20 ServerAssetLibrary 区分 unauthorized、scope missing、filter no result、true empty 和 error；浏览器手测未登录 summary 为 unauthorized 而非 0 shown。"
P1-CONSOLE-009,MCP CLI REST asset sync smoke,P1,done,no,yes,"需要确认跨入口生成的资产能被 Web Recent Assets 统一看到。","使用 mock provider 通过 MCP/CLI/REST 至少一种外部入口创建资产，并在 Web Recent Assets 验证可见。","MCP/CLI/REST 创建的资产出现在 Recent Assets；打开 thumbnail/original/metadata 正常；project API key 外部调用仍工作。","MCP 或 CLI/REST smoke；浏览器手测 Recent Assets。",medium,"2026-06-20 REST/project-key smoke 创建 task_04d4615128bca9babecb -> asset_97eb0fc7e168ab0a54a4；Web Recent Assets 显示 prompt、asset_id、scope、source=rest、session/batch。"
P1-CONSOLE-010,Docs tests regression and CSV evidence closeout,P1,done,no,yes,"实现后需要文档、测试和 CSV evidence 收口。","更新 TASKS.md、CHECKPOINTS.md、RUNBOOK.md、PROJECT_STATUS_MAP.md，必要时更新 DECISIONS/story。","所有任务 evidence 可信；不新增 SaaS/RBAC/OAuth；provider key 不进入前端 bundle/localStorage/响应 JSON/日志。","go test ./...；npm --prefix web test -- --run；npm --prefix web run build；docker compose config。",medium,"2026-06-20 验证通过：Docker go test ./...；npm --prefix web test -- --run 17 files/224 tests；npm --prefix web run build 通过且仅既有 chunk warning；docker compose config 通过；docs/story 已更新。"
