id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P2-ORC-001,Provider and auth semantics lock,P0,done,no,yes,"Web 里同时存在服务端托管连接、Project API key、Basic/Admin 登录和旧版浏览器直连 provider API profile，容易让用户误以为登录者需要自带 provider key/base URL。","只收束产品语义和文档：真实 provider key 仍只属于服务端环境变量；Admin 登录者使用平台能力；Project API key 仅服务 MCP/CLI/REST 外部调用；旧版浏览器直连 provider mode 标为 advanced/legacy。","DECISIONS/PROJECT_PLAN/TASKS/CHECKPOINTS 明确四类凭据边界；Web 文案不把 Project API key 描述成日常查看前置；不读取、不打印、不迁移任何 secret。","文档 review；前端文案 review；不运行真实 provider；不读取或打印 key/secret/cookie/session。",medium,"DECISIONS/PROJECT_PLAN/TASKS/CHECKPOINTS 已更新；Settings server-first 文案已落地；未运行真实 provider；未读取或打印 key/secret/cookie/session"
P2-ORC-002,Settings server-first connection copy,P1,done,no,yes,"设置页的服务端托管模式仍把 API URL、Project API Key、Basic auth 和旧版 provider API URL 混在同一个产品体验中，导致用户不知道哪些是平台连接、哪些是遗留直连 provider。","调整设置页文案和层级：Agent ImageFlow server connection 为主；Project API key/Basic auth 标为 external/API fallback；旧版 provider API profile 保留在 API/Advanced 语义，不作为 Agent ImageFlow 默认路径。","设置页默认说明登录 Web 后使用服务端 provider 能力；不会要求用户填 provider key；旧 API profile 不影响服务端 Recent Assets 审看；现有功能兼容。","Web unit/build；人工 review 设置页文案；不读取或打印任何 key。",medium,"web/src/components/SettingsModal.tsx 已改为服务端平台能力说明；Web tests 18 files/232 tests 通过；build 通过"
P2-ORC-003,Asset card review mode by default,P0,done,no,yes,"Recent Assets 默认把 workspace/project/campaign/provider/model/task/hash/session/batch/story/target 全部铺开，像调试面板，不适合运营审图。","重做 ServerAssetLibrary asset card 默认信息层：缩略图、prompt/画面描述、story/scene、状态、创建时间和核心动作优先；长 ID 和工程字段默认隐藏。","卡片首屏不显示一整屏技术字段；用户能直接看到画面 prompt、scene/story 和 selected/rejected/generated 状态；Select/Reject/Original/Reference 等动作保留。","纯函数测试 + Web tests/build + 浏览器截图抽查；不运行真实 provider。",medium,"ServerAssetLibrary 默认展示 prompt/story/scene/source/created/target/status；browser smoke 确认默认文本不含 Asset ID/Task ID/Hash/Provider/Model"
P2-ORC-004,Technical details disclosure,P0,done,no,yes,"agent/debug 仍需要 asset_id、task_id、hash、session/batch/story/target、metadata/parameters，但这些字段不该压在审图主视图。","新增或调整 Technical details 折叠区，统一放置 asset/task/scope/provider/hash/session/batch/story/target、metadata/parameters JSON 和 copy actions。","默认折叠；展开后能复制 asset_id 和 delivery URL，能查看必要调试字段；不显示 local absolute path；metadata/parameters 保留滚动区。","纯函数测试确认 technical fields；Web tests/build；安全 review。",medium,"Technical details 默认折叠且 copy actions 保留；operatorReview tests 覆盖 local path 和 secret-like fields 脱敏"
P2-ORC-005,Production View no-long-id entry,P1,done,no,yes,"Production View 当前要求手填 session_id/batch_id，真实工作流里用户从 Recent Assets 看到图后不应该再复制一串长 ID。","支持从 Recent Asset/当前可见 batch 快速带入 Production View 查询字段；Production View 入口提供最近 batch/当前筛选提示，scene 卡标题使用人类可读 scene/prompt 优先，task/asset 长 ID 折叠。","用户可从资产卡或当前 filters 一键打开对应 batch/story/scene production view；仍保留手填字段作为高级路径；scene 列表默认优先显示 prompt/剧情信息。","Web tests/build；browser smoke 使用 mock batch；不运行真实 provider。",medium,"资产卡 Batch 入口已接入 Production View seed；browser smoke 确认带入 batch/session filters 并显示 Query 提示"
P2-ORC-006,Manifest export visible feedback,P1,done,no,yes,"Manifest 下载按钮虽然已有请求，但浏览器自动化和人工试用都容易感觉点击后没反应。","导出按钮提供 pending/success/error 的明确可见反馈，toast 与 inline 状态一致；失败时保留当前 summary。","点击 selected/all/all+rejected manifest 后按钮状态变化并显示导出成功或失败；成功不关闭 modal；失败不清空 summary。","Web tests/build；browser smoke 点击按钮；不读取或输出 manifest 中任何 secret。",low,"ProductionViewModal 保留 Exporting pending、toast success/error 和 inline manifestError；build/tests 通过；未读取或输出 manifest 内容"
P2-ORC-007,Admin host mismatch guidance,P1,done,no,yes,"localhost 与 127.0.0.1 混用会导致 Admin cookie host 不一致，用户看到 unauthorized 时容易误判为历史图片丢失。","Web 在检测到页面 host 与 Agent ImageFlow API host 是 localhost/127.0.0.1 混用时显示明确提示；登录区说明用同一 host 访问。","Unauthorized 区域或设置页能提示 host mismatch；不会读取或打印 cookie/session；不改变后端 session 格式。","纯函数测试 + Web tests/build；browser smoke 用 localhost/127.0.0.1 配置验证提示。",low,"getLocalhostMismatchWarning helper 与 Settings/unauthorized 区提示已接入；operatorReview tests 覆盖 localhost/127.0.0.1 混用"
P2-ORC-008,Non-exposure regression for operator surfaces,P0,done,no,yes,"随着 manifest、metadata、Web card 和 Production View 展示越来越多字段，必须防止 provider key、Project API key、cookie、Authorization 或 local path 被带到人工 UI 或导出。","补前端/后端现有路径的最小回归：asset card summary、technical fields、manifest/summary 响应不展示 secret-like fields；generation_config 敏感字段拒绝逻辑保持。","测试覆盖 api_key/provider_key/secret/token/cookie/authorization/password/local absolute path 不进入默认展示或 manifest；现有安全测试继续通过。","Go/Web focused tests；git diff check；不读取或打印真实 secret。",high,"operatorReview tests 覆盖 api_key/provider_key/secret/cookie/Authorization/password/token 和本机/容器绝对路径脱敏；git diff --check 通过"
P2-ORC-009,Compact project context selector,P1,done,no,yes,"Web 生成输入区的 Project Context 面板默认展开后占用过多视觉空间，用户在审图/轻量生成时会被角色、reference 和 recipe 选择器打断。","把 InputBar 的 Project Context 改成默认折叠摘要：保留启用开关、选中数量、当前 recipe/characters/reference 摘要、Expand/Collapse、Manage 和 Clear；展开后才显示详细选择器。","默认只占一条紧凑区域；用户能一眼知道是否启用项目视觉上下文和选中了什么；展开后原有 recipe/character/reference 选择能力保持；Manage 仍打开 Project Context modal。","新增 projectContextPanel 纯函数测试；Web focused/full tests；browser smoke 确认默认折叠。",low,"web/src/lib/projectContextPanel.ts 与测试已新增；InputBar 默认折叠 Project Context；browser smoke 确认显示 No context selected/0 selected/Expand/Manage"
P2-ORC-010,Story-first review title polish,P1,done,no,yes,"Recent Assets 卡片标题仍可能展示 recipe 展开后的长 prompt，包含风格、渠道和技术要求，不像人类审图需要的剧情摘要。","提取 operator review title：优先 scene_summary/story_summary/caption/description，否则取 prompt 第一段并移除 Story scene 前缀，限制长度；卡片标题和图片 alt 使用该标题。","卡片默认标题更短、更像剧情/画面摘要；技术 prompt 块不抢占卡片首屏；原始 prompt/metadata 仍可通过 Technical details 或 metadata URL 排查。","operatorReview focused tests；Web full tests/build；browser smoke 确认默认文本不显示长 style/channel blocks。",low,"getAssetReviewTitle 已接入 ServerAssetLibrary；operatorReview tests 覆盖 recipe-expanded prompt 收敛；browser smoke 未见 cozy picture-book/mobile-first 等长 prompt 块"
