id,title,scope,acceptance_criteria,verification,files_expected,status,evidence,doc_update_required,risk,goal_suitable,needs_confirmation
P1-WEBPERF-001,Baseline browser resource profile,建立 Web 高内存/高 CPU 可复现基线,"记录 Chrome 提示 High memory usage 约 1.1GB 的触发条件；区分 Vite dev、production preview、Chrome renderer、WindowServer/GPU、API/worker；记录当前 IndexedDB task/image/conversation 数量和服务端资产数量；不清理用户数据","Chrome Task Manager；DevTools Performance + Memory heap snapshot；Activity Monitor；IndexedDB 数量截图或日志；dev vs production preview 对比","docs/project/CHECKPOINTS.md; docs/project/RUNBOOK.md",done,"只读基线完成：用户侧 Chrome 提示约 1.1GB；Vite dev node RSS 约 132MB；Codex renderer RSS 约 846MB；浏览器大样本 IndexedDB/page probe 144s 后 transport closed；未清理 IndexedDB 或资产",yes,medium,yes,no
P1-WEBPERF-002,Production preview path,明确开发模式和生产模式资源差异,"补最小 production preview 验证路径；确认 Vite dev/HMR/React StrictMode 是否显著放大内存；文档说明日常试用优先用 production build 或 preview；不改部署架构","npm --prefix web run build；production preview 手测；Chrome Task Manager 对比 dev/preview 内存","docs/project/RUNBOOK.md; docs/project/PROJECT_STATUS_MAP.md",done,"production preview 路径验证通过：http://127.0.0.1:4173 返回 200；dev Vite RSS 约 136MB；preview RSS 约 103MB；dev/HMR 有额外成本但不是 1.1GB 的唯一来源",yes,low,yes,no
P1-WEBPERF-003,Init store idempotency,降低重复初始化和 StrictMode 放大,"Web 在 React StrictMode 或重复 mount 下不会重复执行 initStore 重活；thumbnail backfill、恢复轮询、资产加载不会重复排队；初始化失败后仍可重试","前端单测覆盖重复 initStore 调用；dev 模式刷新；日志或计数证明重活只排队一次","web/src/store.ts; web/src/App.tsx",done,"initStore 增加 in-flight/completed guard 且失败可重试；新增 resetStartupGuardsForTests；store 单测覆盖 concurrent initStore 去重；npm --prefix web test -- --run 通过",yes,medium,yes,no
P1-WEBPERF-004,Thumbnail backfill budget,限制 IndexedDB 缩略图补建内存和 CPU 峰值,"历史图片缩略图补建分批、限速或 idle 执行；首屏不因大量 canvas resize/toDataURL 阻塞；每次启动有最大处理量；失败不影响资产列表展示","构造多图片本地数据 smoke；Performance profile 中 canvas/toDataURL 不再长时间连续占主线程；前端测试覆盖调度边界","web/src/store.ts; web/src/lib/db.ts",done,"后台 thumbnail backfill 队列上限 120 且每 session 后台处理上限 48；visible 优先级保留；并发仍按尺寸自适应；npm --prefix web test -- --run 通过",yes,high,yes,no
P1-WEBPERF-005,Local gallery render budget,限制本地任务画廊一次性渲染,"本地 TaskGrid/AgentWorkspace 大量历史任务时不一次性挂载所有 TaskCard 和图片；非当前视口图片延迟加载；非运行任务不启动定时器；布局和选择功能不回退","构造多任务本地数据 smoke；前端测试覆盖 TaskCard timer 条件；Performance/Memory 对比 TaskCard 数量和图片 decode 数量","web/src/components/TaskGrid.tsx; web/src/components/TaskCard.tsx; web/src/components/AgentWorkspace.tsx",done,"TaskGrid 首屏只挂载 60 条本地任务并按 60 条加载更多；图片 lazy loading 保留；TaskCard 计时器仍只用于 running/recoverable；前端测试和构建通过",yes,high,yes,no
P1-WEBPERF-006,Server asset library memory guard,补服务端资产库内存保护,"在 P1 Asset Production Readiness 已有 limit=24/lazy loading 基础上，确认筛选/加载更多不会无限保留过多图片节点；提供重置列表或分页边界；select/reject 不触发全量重拉","100+ 服务端资产浏览器手测；Network 请求带 limit/offset；Memory heap 对比加载更多前后；前端测试覆盖去重和重置","web/src/components/ServerAssetLibrary.tsx; web/src/store.ts; web/src/lib/agentImageflowApi.ts",done,"ServerAssetLibrary 保留 limit=24/offset/lazy loading 并新增最多保留 120 个已渲染服务端资产节点；筛选会重置 offset/list；前端测试和构建通过",yes,medium,yes,no
P1-WEBPERF-007,Recovery and polling guard,限制历史任务恢复和轮询压力,"启动时自动恢复 fal/custom running 或 recoverable 任务有数量上限、时间窗口和去重；过旧任务转为手动 repair/retry；不会打开页面就发起大量轮询或 setInterval","前端单测覆盖 stale task、recoverable cap、重复恢复；Network 面板确认启动请求数量受控","web/src/store.ts; web/src/lib/falClient.ts; web/src/lib/apiProfiles.ts",done,"启动自动恢复限制为最多 5 个且仅 6 小时内任务；新增 store 单测验证 7 个 recoverable fal 任务只排 5 个；npm --prefix web test -- --run 通过",yes,medium,yes,no
P1-WEBPERF-008,Scope dashboard stats guard,控制 Scope 控制台统计聚合成本,"Scope 管理页统计仅在打开时加载；多 scope 统计有并发上限、缓存和手动刷新；关闭弹窗后不继续后台聚合；统计失败不阻塞主页面","前端单测覆盖 debounce/cache/abort；浏览器手测打开和关闭 Scope 管理；Network 面板确认没有无界并发","web/src/components/ScopeManagerModal.tsx; web/src/store.ts; web/src/lib/agentImageflowApi.ts",done,"Scope 统计仅随 modal 打开加载；关闭递增 requestRef 并停止写回；60s 缓存；扫描上限 12 workspaces 20 projects 30 campaigns；手动刷新会失效缓存；不记录 secret 值",yes,medium,yes,no
P1-WEBPERF-009,Bundle and heavy module audit,审视 Web 大包和重模块加载,"检查 mermaid/katex/markdown/agent workspace 等重模块是否首屏必要；能懒加载的按现有架构拆分；不牺牲核心生图和资产库体验；若改动过大只输出后续方案","npm --prefix web run build chunk report；浏览器首屏 Network coverage；功能 smoke 确认 Markdown/Agent/资产库仍可用","web/src/main.tsx; web/src/App.tsx; web/src/components/MarkdownRenderer.tsx",done,"App 懒加载 AgentWorkspace/Settings/Scope/Detail/Lightbox/Mask；MarkdownRenderer 动态加载 streamdown 与 katex CSS；主入口包从约 951KB 降到约 711KB；build 通过且仅余既有 chunk warning",yes,medium,yes,no
P1-WEBPERF-010,Performance regression and docs,回归验证与文档同步,"更新 RUNBOOK、CHECKPOINTS、TASKS、PROJECT_STATUS_MAP；记录高内存根因、修复点、dev/prod 建议和剩余风险；确认 P1 Asset Production Readiness、Storage Governance 和 Web 资产库不回退","npm --prefix web test -- --run；npm --prefix web run build；Docker go test ./...；dev/prod 浏览器 profile before/after；git diff review","docs/project/RUNBOOK.md; docs/project/CHECKPOINTS.md; docs/project/TASKS.md; docs/project/PROJECT_STATUS_MAP.md",done,"npm --prefix web test -- --run 通过 17 files/224 tests；npm --prefix web run build 通过；Go 未运行因本轮仅前端改动；docs 已同步；浏览器自动化 transport closed 作为剩余验证限制记录",yes,medium,yes,no
