id,title,scope,acceptance_criteria,verification,files_expected,status,evidence,doc_update_required,risk,goal_suitable,needs_confirmation
P1-READY-001,Baseline checkpoint,执行前确认当前平台基线和文档入口,"确认 P0 visibility 与 P1 Storage Governance 不回退；记录 git status 摘要；确认服务端资产库仍能显示 MCP/REST/CLI/Web 资产；确认 PROJECT_STATUS_MAP 与 TASKS 指向本合并 CSV","git status --short；curl /healthz；MCP 或 REST list assets smoke；文档 diff review","docs/project/TASKS.md; docs/project/PROJECT_STATUS_MAP.md",done,git status showed TASKS/PROJECT_STATUS_MAP/merged CSV pending as P1 entry changes; docker compose ps api/worker/postgres/redis up; healthz ok; list assets returned 401 without key and 200 with project key; TASKS and PROJECT_STATUS_MAP point to this merged CSV,yes,low,yes,no
P1-READY-002,Asset query contract,冻结资产库查询契约,"REST list assets 支持 limit、status、provider、model、source、session_id、batch_id、keyword、created_from、created_to；默认调用兼容旧行为；limit 有默认值和上限；不新增通用 DAM 标签系统","HTTP API 单测覆盖默认兼容、limit 上限和多条件组合；无参数结果与旧接口语义一致","internal/httpapi; internal/app; internal/domain; internal/store",done,REST list assets keeps array response shape and now parses limit offset status provider model source session_id batch_id keyword created_from created_to; default limit 50 max 100; docker go test focused backend packages passed,yes,medium,yes,no
P1-READY-003,Store filtering and pagination,实现服务端筛选分页,"SQL 查询可按 asset、asset_version、task structured_input_json.metadata_json 中的通用字段过滤；排序稳定；分页或加载更多不会重复或漏项；delivery 字段保持兼容","store 单测覆盖 status/provider/model/source/session/batch/keyword/date/limit；Docker smoke 使用带 metadata 的资产查询","internal/store/postgres.go; internal/app/service.go",done,Store query now filters asset status asset_version provider/model and task structured_input_json.metadata_json source/session/batch plus keyword/date; ordered by created_at desc and id desc with limit/offset; store query test and focused docker go test passed,yes,medium,yes,no
P1-READY-004,Web asset library filters,Web 资产库增加筛选控件,"资产库可按 status、provider、source、session_id、batch_id、keyword 筛选；筛选不改变当前 scope；错误状态可恢复；移动端和窄屏不溢出","前端单测覆盖 URL/query 构造；浏览器手测多个筛选组合；旧资产无 metadata 时仍可显示","web/src/components/ServerAssetLibrary.tsx; web/src/lib/agentImageflowApi.ts; web/src/types.ts",done,ServerAssetLibrary now has status/provider/source/session/batch/keyword controls and clear filters; API client builds query params; old assets without metadata still render with empty fields; npm web test and build passed,yes,medium,yes,no
P1-READY-005,Render budget and lazy loading,限制首屏渲染和图片解码压力,"服务端资产库首屏只拉取有限数量；支持加载更多；图片使用 lazy loading；刷新和 select/reject 后列表不重复；把 Web CPU 偏高先按分页和懒加载小改处理","浏览器手测 100+ 资产 scope；Network 请求带 limit；Performance profile 对比首屏图片解码数量；前端测试覆盖加载更多状态","web/src/components/ServerAssetLibrary.tsx; web/src/store.ts; web/src/lib/agentImageflowApi.ts",done,Web asset library requests limit=24 with offset for load more; append merge de-duplicates by asset_id; images use loading=lazy; select/reject updates current asset only; npm web test and build passed,yes,high,yes,no
P1-READY-006,Metadata standard contract,标准化 source/session/batch 字段,"冻结 metadata_json 通用字段 source、source_agent、source_thread_id、session_id、run_id、batch_id、story_id、scene_id、target_path；继续使用 metadata_json，不新增业务表；未知字段保留；空值不污染响应","文档 review；Go 单测覆盖空 metadata、标准 metadata、未知字段、非法 JSON 兜底；旧任务仍可读取","docs/project/INPUT_OUTPUT_SPEC.md; docs/project/RUNBOOK.md; internal/app/service.go; internal/domain/types.go",done,Added domain.NormalizeMetadataJSON for standard source/session/run/batch/story/scene/target_path fields; empty and non-string standard fields are removed while unknown fields are preserved; invalid JSON falls back to {}; domain tests and focused docker go test passed,yes,low,yes,no
P1-READY-007,Codex batch examples,补资产生产批量调用示例,"examples 和 RUNBOOK 给出萌宠账号、嵌入式架构图账号的 REST/MCP/CLI 示例；示例只描述外部编排如何传 metadata，不让平台读取脚本、拆分内容或发布小红书","示例 JSON 可通过 vag task create；MCP tool args 可复制执行；文档明确 Agent ImageFlow 不是自媒体运营系统","examples/tasks; docs/project/RUNBOOK.md; docs/project/BUSINESS_SCENARIOS.md",done,Added sample-codex-pet-story-task.json and sample-codex-embedded-architecture-task.json with standard metadata_json; RUNBOOK includes CLI and MCP args; BUSINESS_SCENARIOS states platform does not read scripts or publish content,yes,low,yes,no
P1-READY-008,Minimal project provider profile,补最小项目级 provider 默认值,"project 可保存默认 provider、model、base_url 非敏感配置、generation config 和 quality profile 复用策略；不保存或回显明文 secret；未配置时继续使用环境变量；如要存真实 provider key 必须暂停确认","Go 单测覆盖保存、读取、禁用、无明文回显和环境变量回退；Web/CLI 创建任务可复用默认 profile","internal/domain; internal/app; internal/store; internal/httpapi; web/src/lib/agentImageflowApi.ts",done,Added project provider-profile GET/POST using project.metadata_json.provider_profile for non-sensitive enabled/provider/model/base_url/generation_config/use_project_quality_profile; no api_key field is accepted or returned; vag project provider get/set added; task creation without provider can reuse profile provider/model; focused docker go test passed,yes,high,yes,yes
P1-READY-009,Asset detail metadata view,增强资产详情和交付信息展示,"资产卡或详情可查看 metadata_json、parameters_json 摘要、delivery links、hash、local path 的安全展示策略；长 prompt、target_path、parameters 不撑破布局；不暴露额外敏感本地路径","浏览器手测长字段、空 metadata、空 parameters；前端测试覆盖字段兜底；curl asset response 与 UI 展示一致","web/src/components/ServerAssetLibrary.tsx; web/src/components/DetailModal.tsx; web/src/types.ts",done,Server asset cards show hash and collapsible metadata_json/parameters_json summaries; local path UI shows only a safe stored filename label rather than full absolute path; long values use wrapping and scroll bounds; npm web test and build passed,yes,low,yes,no
P1-READY-010,Regression and docs,回归验证与文档同步,"更新 RUNBOOK、CHECKPOINTS、TASKS、PROJECT_STATUS_MAP；确认 P0 visibility、Storage Governance、MCP 资产显示不回退；记录性能问题是否已由分页/lazy loading 缓解，若仍高 CPU 再执行独立 performance CSV","npm --prefix web test -- --run；npm --prefix web run build；Docker go test ./...；MCP create + Web list smoke；git diff review","docs/project/RUNBOOK.md; docs/project/CHECKPOINTS.md; docs/project/TASKS.md; docs/project/PROJECT_STATUS_MAP.md",done,Full validation passed: npm web test 17 files/222 tests; npm build passed with existing chunk warning; Docker go test ./... passed; compose build/up and healthz ok; CLI provider profile set smoke ok; REST smoke task_a1e1ef5a230207e4bda9 produced asset_b8ddafa3547c75aca91a; REST source/session/batch filter returned that asset; browser Web asset library showed 24 lazy thumbnails then source/session/batch filter showed 1 matching asset,yes,medium,yes,no
