id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P1-PROVREL-001,Baseline provider throughput audit,P0,done,no,yes,"并发专项已完成基础 worker/provider cap 和 benchmark，但文档与默认值中仍存在 cap=6、provider timeout、真实 provider 小样本 timeout 等信息需要重新对齐，避免下一轮重复实现或误判瓶颈。","只读复核现有 WORKER_CONCURRENCY、OPENAI_COMPATIBLE_MAX_CONCURRENCY、task attempts、vag benchmark image-generation、Runbook 和真实 provider c6 结果；不改业务逻辑。","形成基线记录：说明已有能力、缺口、当前默认值、真实 provider 6 并发 2/6 timeout 的含义；确认本轮不是从零实现并发，而是 provider 稳定性治理。","rg 配置和 provider limiter；阅读 TASKS/CHECKPOINTS/RUNBOOK/PROJECT_STATUS_MAP；git diff review。","若不先复核，容易重复实现已有能力，或把 provider 侧 timeout 误判成本地 CPU/Worker 问题。","Reviewed docs and code baseline：worker concurrency and first benchmark existed；real provider c6 had 2/6 timeout；this round scoped as provider reliability hardening not fresh concurrency implementation."
P1-PROVREL-002,Safer real-provider runtime defaults,P0,done,no,yes,"当前默认 WORKER_CONCURRENCY=6 与 OPENAI_COMPATIBLE_MAX_CONCURRENCY=6 会让真实 provider 同时承受 6 个请求；已有小样本显示 c6 不稳定。","调整默认运行建议和必要配置，使 worker 仍可高并发接任务，但 openai-compatible 真实 provider 默认 cap 更保守；默认 total timeout 提升到适合真实排队的区间。","默认策略明确为 WORKER_CONCURRENCY=6、OPENAI_COMPATIBLE_MAX_CONCURRENCY=3、PROVIDER_TIMEOUT_SECONDS=300；配置测试覆盖默认值、覆盖值和非法值；文档说明 cap=2/3/4 的试用顺序。","go test ./...；docker compose config；Runbook diff review；不运行付费 provider。","默认值变化会影响本地吞吐和等待时间；但方向是降低真实 provider timeout 和 429 风险。","Config and compose defaults now use worker=6 openai cap=3 fal cap=3 provider timeout=300；config tests cover default override invalid fallback；RUNBOOK recommends cap 2->3->4；docker compose config passed."
P1-PROVREL-003,Provider stage metrics,P0,done,no,yes,"task_attempt 当前主要能看总 latency、retry_after 和错误，无法判断慢在排队、provider 首字节、响应下载、落盘还是缩略图。","为任务 attempt 增加结构化阶段耗时指标；优先服务 provider 诊断和 benchmark，不引入复杂 APM。","每个 attempt 可记录 queue_wait_ms、provider_first_byte_ms、provider_total_ms、response_download_ms、store_ms、thumbnail_ms、retry_count、error_stage、response_bytes；失败路径也能记录已知阶段。","Go 单测覆盖成功、timeout、provider 错误、落盘错误的 metrics；CLI/API attempts 输出可看到 metrics；mock smoke 验证字段存在。","指标口径若不统一会误导调参；需要在 Runbook 写清每个字段的含义和采集边界。","Added task_attempt metric columns and public JSON fields；service records queue provider download store thumbnail retry error_stage response_bytes；task_6330ef96181ccb074ca5 attempts showed queue_wait_ms provider_total_ms store_ms thumbnail_ms retry_count；domain and provider tests passed."
P1-PROVREL-004,OpenAI-compatible timeout profile,P0,done,no,yes,"单一 PROVIDER_TIMEOUT_SECONDS 无法区分连接失败、awaiting headers、响应体过大或整体执行过久；真实 timeout 排障粒度不足。","为 openai-compatible provider 增加最小 timeout profile，重点区分 connect、response header/first byte、total provider timeout。","支持 OPENAI_COMPATIBLE_CONNECT_TIMEOUT_SECONDS、OPENAI_COMPATIBLE_RESPONSE_HEADER_TIMEOUT_SECONDS、OPENAI_COMPATIBLE_TOTAL_TIMEOUT_SECONDS，并兼容旧 PROVIDER_TIMEOUT_SECONDS；awaiting headers 类错误应标记 error_stage=provider_first_byte。","Go 单测用 httptest 模拟慢连接/慢 header/慢 body；task attempts metrics 验证 error_stage；旧配置不破坏。","timeout 配置过多会增加运维复杂度；必须保留合理默认和旧配置兼容。","OpenAI-compatible now configures connect/header/total timeouts；legacy PROVIDER_TIMEOUT_SECONDS feeds header/total fallback；httptest covers slow header provider_first_byte slow body response_download and connect classification；go test ./... passed."
P1-PROVREL-005,Independent provider limiters,P0,done,no,yes,"当前 openai-compatible 已有 provider cap，但每个 provider 都应有独立保护；worker 并发不应直接等于任一 provider 并发。","补齐 fal 与 openai-compatible 的独立 limiter 配置，并让 app/service 统一通过 provider id 获取 limiter。","OPENAI_COMPATIBLE_MAX_CONCURRENCY 与 FAL_MAX_CONCURRENCY 独立生效；设为 0 时语义清晰；不同 provider 同时跑任务时互不占用对方 cap；worker goroutine 数不变。","Go 单测覆盖不同 provider limiter、cap=0、cap=1 串行、cap>1 并发；mock/fake provider smoke。","cap 过低会降低吞吐，cap 过高会增加 timeout/429；默认值需和 Runbook 推荐一致。","newProviderLimiters now creates independent openai-compatible and fal limiters；cap=0 disables limiter；tests cover independent caps and disabled caps；worker concurrency unchanged."
P1-PROVREL-006,Minimal provider capability profile,P1,done,no,yes,"不同 openai-compatible 网关不一定完整支持官方 Images API 能力，不能把 n=10、stream、URL result 等能力写死成平台默认。","扩展项目级非敏感 provider profile，仅保存能力和偏好，不保存明文 secret，不做云端注册/计费。","provider_profile 可表达 max_n、supports_url_result、preferred_response_format、max_concurrency、timeout_seconds；缺省时使用安全默认；不假设所有 provider 支持官方 n=10。","Go 单测覆盖 profile 读写、默认值、非法 max_n 兜底；CLI/Web 不回显 secret；文档说明 capability 只代表本项目经验配置。","能力配置和真实 provider 行为可能不一致；需要失败时回退并保留错误信息。","Project provider_profile includes max_n supports_url_result preferred_response_format max_concurrency timeout_seconds；normalization defaults max_n=4 caps at 10 and falls back to b64_json；CLI set flags and Web API types updated；no secret field added."
P1-PROVREL-007,Prompt variants versus scene task policy,P1,done,no,yes,"同 prompt 多图、不同 scene 多图和批量故事图现在容易混成同一种并发压力；n=10 单请求与 10 个 task 并发不是一回事。","明确并实现最小策略：同 prompt 变体在 provider max_n 内合并请求，不同 story/scene 仍按 task pool 管理；超过 max_n 自动拆分。","requested_count 会按 provider_profile.max_n 进行合并或拆分；多 scene 仍保留独立 task/metadata，便于失败重试和资产追踪；Runbook 给出示例。","Go 单测覆盖 requested_count=1、max_n=4、requested_count>max_n、scene 批量不合并；CLI/REST mock smoke。","错误合并会破坏 scene 追踪或导致 provider 参数不兼容；需要保留 metadata_json 的 story_id/scene_id。","Service now splits requested_count by effective provider max_n within one task；unit test covers requested_count=10 max_n=4 producing provider calls 4+4+2 and slots 0..9；metadata_json story/scene remains external task-level tracking."
P1-PROVREL-008,Diagnostic benchmark report,P1,done,yes,yes,"现有 benchmark 能看成功率和总耗时，但下一步需要直接判断慢在 queue、first byte、provider total、download、store、thumbnail 或 retry。","增强 vag benchmark image-generation 的报告维度；真实 provider benchmark 仍必须显式费用确认，不在普通验证中自动运行。","benchmark 输出 provider cap、worker concurrency、timeout profile、queue wait、first byte、provider total、download/store/thumbnail、timeout count、retry count，并给出 cap=2/3/4 的下一步建议。","mock benchmark 必跑；真实 provider benchmark 只有用户确认费用后才跑；输出 JSON/表格可用于粘贴到 Runbook evidence。","真实 provider benchmark 会产生费用且受网络波动影响；needs_confirmation=yes。","Benchmark JSON now includes openai/fal caps timeout profile queue provider_first_byte provider_total download store thumbnail retry timeout error_stages recommendations and session_id/batch_id metadata；mock run bench_p1_provider_rel_batch completed 3/3 tasks and 6 assets；real provider benchmark not run because cost confirmation is required."
P1-PROVREL-009,Minimal batch progress visibility,P1,done,no,yes,"批量生图时用户需要看到一组任务中成功几个、失败几个、谁在 retry，而不是等全部结束后才知道结果。","基于已有 session_id/batch_id/task_attempts/asset 列表做最小进度视图；不做内容日历、自动发布或运营系统。","REST/CLI/Web 至少一种入口可按 session_id 或 batch_id 汇总 queued/running/succeeded/failed/retrying/asset_count；局部成功资产可先展示；失败项能看到 error_stage。","Go/Web 单测或 smoke 覆盖混合状态 batch；Web 不一次性全量渲染大批资产；不会暴露本地绝对路径。","若范围过大容易滑向工作流编排系统；本任务只做资产生产批次可见性。","Added GET /api/projects/{project_id}/campaigns/{campaign_id}/batch-progress and vag batch progress；query by bench_p1_provider_rel_batch returned task_count=3 succeeded_count=3 asset_count=6 attempt_count=3；route uses existing project API key auth and audit inference."
P1-PROVREL-010,Regression docs and rollout guide,P0,done,no,yes,"provider 稳定性治理会改变默认并发、timeout、attempt 展示和 benchmark 输出，必须同步文档，否则后续调参会失真。","收口测试、文档和 evidence；明确哪些能力已完成，哪些仍属于 P2。","更新 TASKS.md、CHECKPOINTS.md、RUNBOOK.md、PROJECT_STATUS_MAP.md 和 story 文档；CSV evidence 补齐；明确不做 streaming、partial images、adaptive backpressure、复杂 provider probe。","go test ./...；npm --prefix web test -- --run；npm --prefix web run build；docker compose config；git diff review。","若没有回归测试，provider 改动可能影响 Web/MCP/REST/CLI 共用事实源。","Updated TASKS CHECKPOINTS RUNBOOK PROJECT_STATUS_MAP PROJECT_PLAN TECH_SPEC DECISIONS and slice-028 story；Docker go test ./... passed；npm web test 17 files/224 tests passed；npm build passed with existing chunk warning；docker compose config passed；no streaming partial images adaptive backpressure or complex probe added."
