id,title,priority,status,needs_confirmation,goal_suitable,problem,scope,acceptance,verification,risk,evidence
P1-STORY-001,Story continuity workflow contract,P1,done,yes,yes,"上一轮五张萌宠图证明单图和加字 edit 能跑通，但没有形成连续漫画；平台缺少 Story Bible、Panel Plan、reference roles 和连续性 metadata 的最小契约。","新增本 CSV 作为连续故事工作流入口；第一版只做图片资产生产上下文，不做漫画编辑器、图层工具、小红书运营或 AI 自动视觉质检。","后续实现者能围绕 Story Bible、Panel Plan、Reference Roles、Story Review 和 regeneration lineage 分阶段推进；默认复用 metadata，不优先做数据库迁移。","文档 review；architecture boundary review；不改业务代码。",medium,"本 CSV 已新增；具体代码实现待后续切片。"
P1-STORY-002,Story Bible metadata contract,P1,todo,no,yes,"同一 story 的多格图没有共享固定环境、道具和禁止变化项，provider 会每格重新发明画面。","定义 `story_bible` 的最小字段：story_id、premise、fixed_environment、characters、continuity_props、style_rules、negative_continuity、delivery_notes；优先放 campaign 或 task metadata。","3-5 格 story 任务能共享同一 story_bible；metadata 中不包含 secret/local path；manifest 可回看 story_bible 摘要。","Fixture parse；metadata snapshot review；manifest review。",medium,"待执行。"
P1-STORY-003,Panel Plan metadata contract,P1,todo,no,yes,"孤立文案无法表达动作因果，导致观众看不出连续关系。","定义 `panel_plan`：scene_id、previous_state、action、dialogue、camera、must_keep_props、allowed_changes、reference_roles、target_path。","每个 scene 的 task metadata 都能解释上一格状态、本格动作、对白和必须保留物；scene regenerate 可继承同一 panel_plan。","Fixture parse；mock create task metadata review。",medium,"待执行。"
P1-STORY-004,Reference role semantics,P1,todo,no,yes,"现有 reference_images 可引用 asset，但缺少用途语义，provider 和 Web 都难以区分角色参考、场景参考、上一格参考和 edit target。","扩展约定 `reference_images[].role`，第一版支持 `character_reference`、`environment_reference`、`previous_panel_reference`、`style_reference`、`edit_target`；不改变 MCP destructive boundary。","task/asset metadata 能记录每张参考图的 role；Web technical details 能显示用途；provider 失败诊断能说明哪类参考未参与。","Go/Web fixture tests；metadata review；MCP example review。",medium,"待执行。"
P1-STORY-005,Story Review View design and first UI slice,P1,todo,yes,yes,"Production View 已按 scene 聚合，但还不能把对白、动作、参考图和连续性检查放在同一审图语境中。","在 Web 中增加或扩展 Story Review：按 scene 顺序展示 panel plan、候选图、selected/rejected 状态、reference thumbnails、regenerate action 和 manifest entry。","人工能按故事顺序审图；每格能看到为什么这样生成、用了哪些参考、是否已选；低频工程字段继续折叠。","Web tests；browser smoke；accessibility spot check。",high,"待执行；需避免把 UI 扩成完整漫画编辑器。"
P1-STORY-006,Continuity-aware scene regenerate,P1,todo,no,yes,"单格漂移时需要重生这一格，但不能破坏其他已选资产和故事上下文。","复用现有 scene regenerate，新 task 继承 story_bible/panel_plan/reference roles，并允许追加 regenerate_reason 和 continuity_fix_notes。","重生图保留同 story/scene，旧资产不被覆盖；metadata 能看出针对哪些连续性问题重试。","Go tests；Production View smoke；manifest lineage check。",medium,"待执行。"
P1-STORY-007,Mock three-panel continuity smoke,P1,todo,no,yes,"实现前后都需要一个不花钱的连续故事回归，确认 metadata 和 Web review 不断链。","用 mock provider 跑 3 格故事：同一角色、同一环境、同一 continuity_props；生成后在 Web 选择每格推荐图并导出 manifest。","3 个 scene 都 completed；每个 task/asset 有 story_bible/panel_plan/reference role metadata；Web 能按顺序审图；manifest 正常。","MCP mock smoke；Web browser smoke；manifest parse。",low,"待执行。"
P1-STORY-008,Optional real provider continuity canary,P1,todo,yes,yes,"mock 只能验证链路，无法判断真实 provider 是否更稳定地遵守固定场景和道具。","用户确认费用后跑 3 张以内真实 provider canary，优先 provider cap=1；只记录成功率、耗时、参考参与和人工一致性判断。","至少 1 个 3-panel canary 完成或失败原因清楚；不把失败误判为平台失败；不做大并发 benchmark。","Task attempts review；delivery check；manual visual review。",high,"待执行。"
P1-STORY-009,Story Continuity Agent handoff,P1,todo,no,yes,"连续叙事和分镜不应由平台硬编码；需要一个上游 agent 产出 Story Bible 和 Panel Plan。","基于 `docs/project/STORY_CONTINUITY_AGENT_GUIDE.md` 和 `examples/mcp/*` 指导新 agent：先写计划，再调用 MCP create/get/list/select/delivery。","新 agent 能解释每格的 reference choices 和 retry reason；不需要 provider key、Admin cookie 或删除权限。","Guide review；example parse；mock agent dry run。",low,"待执行。"
P1-STORY-010,Project management and roadmap sync,P1,todo,no,yes,"连续故事能力会影响 V1 后的产品路线，必须避免散落在聊天记录里。","实现或验证每个子任务后同步更新 TASKS、PROJECT_STATUS_MAP、V1_BASELINE_AND_ROADMAP、CHECKPOINTS 和 issues README。","新会话能从 docs/project/README.md 和 issues/README.md 找到当前状态；已完成任务不复开。","Docs diff review；CSV parse；link spot check。",low,"待执行。"
